method,method_label,seed,split,correct,examples,exact_match_accuracy,mean_latency_seconds
latent,Latent firmware,401,id_random,299,300,0.9966666666666667,0.13707882502674087
latent,Latent firmware,401,ood_primary,300,300,1.0,0.2647652622299211
latent,Latent firmware,401,ood_long,300,300,1.0,0.3857357676132597
latent,Latent firmware,401,carry_chain,150,150,1.0,0.293899846120039
latent,Latent firmware,503,id_random,300,300,1.0,0.13673297179667618
latent,Latent firmware,503,ood_primary,300,300,1.0,0.2614205577633159
latent,Latent firmware,503,ood_long,300,300,1.0,0.3839510476234015
latent,Latent firmware,503,carry_chain,150,150,1.0,0.2919642199866939
latent,Latent firmware,601,id_random,300,300,1.0,0.13682410140333862
latent,Latent firmware,601,ood_primary,300,300,1.0,0.26151413775005494
latent,Latent firmware,601,ood_long,264,300,0.88,0.39164752639001865
latent,Latent firmware,601,carry_chain,150,150,1.0,0.2920220016866127
firmware_off,Firmware off,401,id_random,60,300,0.2,0.1858245169466075
firmware_off,Firmware off,401,ood_primary,14,300,0.04666666666666667,0.3080722598766442
firmware_off,Firmware off,401,ood_long,2,300,0.006666666666666667,0.43035673356332454
firmware_off,Firmware off,401,carry_chain,9,150,0.06,0.346520943840078
firmware_off,Firmware off,503,id_random,60,300,0.2,0.18618297484333501
firmware_off,Firmware off,503,ood_primary,14,300,0.04666666666666667,0.308405971000102
firmware_off,Firmware off,503,ood_long,2,300,0.006666666666666667,0.4292265961300412
firmware_off,Firmware off,503,carry_chain,9,150,0.06,0.34647305726670313
firmware_off,Firmware off,601,id_random,60,300,0.2,0.18622527095671104
firmware_off,Firmware off,601,ood_primary,14,300,0.04666666666666667,0.309687506526728
firmware_off,Firmware off,601,ood_long,2,300,0.006666666666666667,0.432586375826589
firmware_off,Firmware off,601,carry_chain,9,150,0.06,0.34689043726655655
learned_adapter,Learned LoRA,401,id_random,191,300,0.6366666666666667,0.14066070002685593
learned_adapter,Learned LoRA,401,ood_primary,16,300,0.05333333333333334,0.24917354153333388
learned_adapter,Learned LoRA,401,ood_long,0,300,0.0,0.38873051849335755
learned_adapter,Learned LoRA,401,carry_chain,26,150,0.17333333333333334,0.2820805766533158
learned_adapter,Learned LoRA,503,id_random,265,300,0.8833333333333333,0.14003410012667397
learned_adapter,Learned LoRA,503,ood_primary,57,300,0.19,0.26736074136670746
learned_adapter,Learned LoRA,503,ood_long,5,300,0.016666666666666666,0.3935723683466616
learned_adapter,Learned LoRA,503,carry_chain,10,150,0.06666666666666667,0.2912419722264652
learned_adapter,Learned LoRA,601,id_random,271,300,0.9033333333333333,0.1416554020833428
learned_adapter,Learned LoRA,601,ood_primary,116,300,0.38666666666666666,0.2697638883366259
learned_adapter,Learned LoRA,601,ood_long,12,300,0.04,0.39324624070339875
learned_adapter,Learned LoRA,601,carry_chain,8,150,0.05333333333333334,0.2969164597400231
