model,seed,steps,final_loss,wall_time_seconds,trainable_parameters,device
baseline,101,10000,0.023503152653574944,690.290001417,264480,mps
baseline,211,10000,0.025660589337348938,692.1850124160001,264480,mps
baseline,307,10000,0.05411793664097786,686.8559405839997,264480,mps
latent_firmware,101,1000,0.0001838825410231948,222.03162191700176,264480,mps
latent_firmware,211,1000,0.00018547980289440602,224.21568520799883,264480,mps
latent_firmware,307,1000,0.0001742489548632875,227.21976620900023,264480,mps
direct_firmware,101,1,0.0,0.17265645899897208,264480,mps
direct_firmware,211,1,0.0,0.18492058300034842,264480,mps
direct_firmware,307,1,0.0,0.1716702499998064,264480,mps
